% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 1.000 kHz, stop freq 50.000 kHz, RBW 98.71 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 4 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:29:17 -0700
% Frequency (Hz), Input A (V/rtHz)
8.576389891692e+03, 1.134507e-06
8.625296266893e+03, 1.131260e-06
8.674202642093e+03, 1.107449e-06
8.723109017293e+03, 1.105465e-06
8.772015392494e+03, 1.160828e-06
8.820921767694e+03, 1.184774e-06
8.869828142894e+03, 1.097832e-06
8.918734518095e+03, 9.051054e-07
8.967640893295e+03, 7.848233e-07
9.016547268495e+03, 9.350578e-07
9.065453643696e+03, 1.228460e-06
9.114360018896e+03, 1.476813e-06
9.163266394096e+03, 4.405056e-06
9.212172769297e+03, 1.662932e-05
9.261079144497e+03, 2.964217e-05
9.309985519697e+03, 2.676287e-05
9.358891894898e+03, 1.200634e-05
9.407798270098e+03, 2.465323e-06
9.456704645298e+03, 1.088201e-06
9.505611020499e+03, 1.069682e-06
9.554517395699e+03, 1.043117e-06
9.603423770899e+03, 9.702677e-07
9.652330146100e+03, 9.150333e-07
9.701236521300e+03, 9.118477e-07
9.750142896500e+03, 8.499789e-07
9.799049271700e+03, 7.938401e-07
9.847955646901e+03, 7.255799e-07
9.896862022101e+03, 6.721879e-07
9.945768397301e+03, 6.566111e-07
9.994674772502e+03, 6.303706e-07
1.004358114770e+04, 6.523321e-07
1.009248752290e+04, 8.502219e-07
1.014139389810e+04, 8.869706e-07
1.019030027330e+04, 7.246957e-07
1.023920664850e+04, 6.491196e-07
1.028811302370e+04, 6.130120e-07
1.033701939890e+04, 6.006814e-07
1.038592577410e+04, 6.343593e-07
1.043483214930e+04, 6.400083e-07
1.048373852450e+04, 6.021257e-07
1.053264489971e+04, 5.784095e-07
1.058155127491e+04, 5.825737e-07
1.063045765011e+04, 5.888908e-07
1.067936402531e+04, 5.628799e-07
1.072827040051e+04, 5.469520e-07
1.077717677571e+04, 5.632241e-07
1.082608315091e+04, 5.508732e-07
1.087498952611e+04, 5.646414e-07
1.092389590131e+04, 6.368295e-07
1.097280227651e+04, 6.277182e-07
1.102170865171e+04, 5.328195e-07
1.107061502691e+04, 4.766806e-07
1.111952140211e+04, 4.508384e-07
1.116842777731e+04, 4.177139e-07
1.121733415251e+04, 4.119435e-07
1.126624052771e+04, 4.294573e-07
1.131514690291e+04, 4.420106e-07
1.136405327811e+04, 4.270816e-07
1.141295965331e+04, 4.386901e-07
1.146186602851e+04, 4.482265e-07
1.151077240371e+04, 4.480443e-07
1.155967877891e+04, 4.549823e-07
1.160858515411e+04, 4.519587e-07
1.165749152931e+04, 4.675424e-07
1.170639790451e+04, 5.053844e-07
1.175530427971e+04, 6.019907e-07
1.180421065491e+04, 6.264562e-07
1.185311703011e+04, 5.182684e-07
1.190202340531e+04, 4.454189e-07
1.195092978051e+04, 4.293966e-07
1.199983615571e+04, 4.132933e-07
1.204874253092e+04, 4.013069e-07
1.209764890612e+04, 3.869044e-07
1.214655528132e+04, 3.879505e-07
1.219546165652e+04, 3.894015e-07
1.224436803172e+04, 3.751745e-07
1.229327440692e+04, 3.569722e-07
1.234218078212e+04, 3.585515e-07
1.239108715732e+04, 3.696605e-07
1.243999353252e+04, 3.780091e-07
1.248889990772e+04, 4.085014e-07
1.253780628292e+04, 4.200559e-07
1.258671265812e+04, 4.311851e-07
1.263561903332e+04, 4.603209e-07
1.268452540852e+04, 4.799269e-07
1.273343178372e+04, 4.376237e-07
1.278233815892e+04, 4.038378e-07
1.283124453412e+04, 4.017186e-07
1.288015090932e+04, 3.916152e-07
1.292905728452e+04, 3.635121e-07
1.297796365972e+04, 3.517012e-07
1.302687003492e+04, 3.452086e-07
1.307577641012e+04, 3.583220e-07
1.312468278532e+04, 3.614671e-07
1.317358916052e+04, 3.616156e-07
1.322249553572e+04, 3.692285e-07
1.327140191092e+04, 3.612241e-07
1.332030828612e+04, 3.512962e-07
1.336921466132e+04, 3.574514e-07
1.341812103652e+04, 3.609677e-07
1.346702741172e+04, 3.785355e-07
1.351593378692e+04, 3.955904e-07
1.356484016213e+04, 3.961911e-07
1.361374653733e+04, 3.895973e-07
1.366265291253e+04, 3.834151e-07
1.371155928773e+04, 3.585650e-07
1.376046566293e+04, 3.461197e-07
1.380937203813e+04, 3.502231e-07
1.385827841333e+04, 3.490488e-07
1.390718478853e+04, 3.399983e-07
1.395609116373e+04, 3.322503e-07
1.400499753893e+04, 3.515595e-07
1.405390391413e+04, 3.337554e-07
1.410281028933e+04, 3.084261e-07
1.415171666453e+04, 3.191301e-07
1.420062303973e+04, 3.482052e-07
1.424952941493e+04, 3.564188e-07
1.429843579013e+04, 3.440477e-07
1.434734216533e+04, 3.499802e-07
1.439624854053e+04, 3.490893e-07
1.444515491573e+04, 3.392829e-07
1.449406129093e+04, 3.357464e-07
1.454296766613e+04, 3.450128e-07
1.459187404133e+04, 3.482457e-07
1.464078041653e+04, 3.443852e-07
1.468968679173e+04, 3.237870e-07
1.473859316693e+04, 3.333437e-07
1.478749954213e+04, 3.406664e-07
1.483640591733e+04, 3.474358e-07
1.488531229253e+04, 3.457350e-07
1.493421866773e+04, 3.261424e-07
1.498312504293e+04, 3.284776e-07
1.503203141813e+04, 3.320749e-07
1.508093779334e+04, 3.500274e-07
1.512984416854e+04, 3.802768e-07
1.517875054374e+04, 3.857705e-07
1.522765691894e+04, 3.582208e-07
1.527656329414e+04, 3.361918e-07
1.532546966934e+04, 3.258050e-07
1.537437604454e+04, 3.214248e-07
1.542328241974e+04, 3.246914e-07
1.547218879494e+04, 3.377373e-07
1.552109517014e+04, 3.349365e-07
1.557000154534e+04, 3.263044e-07
1.561890792054e+04, 3.375821e-07
1.566781429574e+04, 3.433256e-07
1.571672067094e+04, 3.260142e-07
1.576562704614e+04, 3.234968e-07
1.581453342134e+04, 3.387969e-07
1.586343979654e+04, 3.303943e-07
1.591234617174e+04, 3.244821e-07
1.596125254694e+04, 3.166937e-07
1.601015892214e+04, 3.396338e-07
1.605906529734e+04, 3.657528e-07
1.610797167254e+04, 3.516472e-07
1.615687804774e+04, 3.301176e-07
1.620578442294e+04, 3.292470e-07
1.625469079814e+04, 3.210671e-07
1.630359717334e+04, 2.972901e-07
1.635250354854e+04, 2.943610e-07
1.640140992374e+04, 3.228489e-07
1.645031629894e+04, 3.400320e-07
1.649922267414e+04, 3.402142e-07
1.654812904934e+04, 3.366305e-07
1.659703542455e+04, 3.310490e-07
1.664594179975e+04, 3.282279e-07
1.669484817495e+04, 3.425967e-07
1.674375455015e+04, 3.434268e-07
1.679266092535e+04, 3.447159e-07
1.684156730055e+04, 3.621150e-07
1.689047367575e+04, 3.663129e-07
1.693938005095e+04, 3.376833e-07
1.698828642615e+04, 3.317104e-07
1.703719280135e+04, 3.243269e-07
1.708609917655e+04, 3.184890e-07
1.713500555175e+04, 3.076364e-07
1.718391192695e+04, 3.186239e-07
1.723281830215e+04, 3.388239e-07
1.728172467735e+04, 3.473818e-07
1.733063105255e+04, 3.532872e-07
1.737953742775e+04, 3.525786e-07
1.742844380295e+04, 3.417125e-07
1.747735017815e+04, 3.373391e-07
1.752625655335e+04, 3.492648e-07
1.757516292855e+04, 3.707336e-07
1.762406930375e+04, 3.676087e-07
1.767297567895e+04, 3.640790e-07
1.772188205415e+04, 3.992619e-07
1.777078842935e+04, 3.836851e-07
1.781969480455e+04, 3.520116e-07
1.786860117975e+04, 3.445269e-07
1.791750755495e+04, 3.454785e-07
1.796641393015e+04, 3.328645e-07
1.801532030535e+04, 3.218433e-07
1.806422668055e+04, 3.247049e-07
1.811313305575e+04, 3.280996e-07
1.816203943096e+04, 3.366507e-07
1.821094580616e+04, 3.357126e-07
1.825985218136e+04, 3.239827e-07
1.830875855656e+04, 3.211076e-07
1.835766493176e+04, 3.456742e-07
1.840657130696e+04, 3.667381e-07
1.845547768216e+04, 4.117207e-07
1.850438405736e+04, 7.485604e-07
1.855329043256e+04, 1.025799e-06
1.860219680776e+04, 7.853969e-07
1.865110318296e+04, 3.981483e-07
1.870000955816e+04, 3.137511e-07
1.874891593336e+04, 3.209861e-07
1.879782230856e+04, 3.220660e-07
1.884672868376e+04, 3.174698e-07
1.889563505896e+04, 3.097084e-07
1.894454143416e+04, 3.108895e-07
1.899344780936e+04, 3.253865e-07
1.904235418456e+04, 3.169164e-07
1.909126055976e+04, 3.022169e-07
1.914016693496e+04, 3.148647e-07
1.918907331016e+04, 3.257982e-07
1.923797968536e+04, 3.373931e-07
1.928688606056e+04, 3.392694e-07
1.933579243576e+04, 3.543198e-07
1.938469881096e+04, 3.808842e-07
1.943360518616e+04, 3.615616e-07
1.948251156136e+04, 3.311907e-07
1.953141793656e+04, 3.282144e-07
1.958032431176e+04, 3.195283e-07
1.962923068696e+04, 3.152764e-07
1.967813706217e+04, 3.189749e-07
1.972704343737e+04, 3.167274e-07
1.977594981257e+04, 3.088378e-07
1.982485618777e+04, 2.965477e-07
1.987376256297e+04, 2.786627e-07
1.992266893817e+04, 2.869505e-07
1.997157531337e+04, 3.062259e-07
2.002048168857e+04, 3.024464e-07
2.006938806377e+04, 2.991663e-07
2.011829443897e+04, 2.949279e-07
2.016720081417e+04, 3.044711e-07
2.021610718937e+04, 3.251098e-07
2.026501356457e+04, 3.396878e-07
2.031391993977e+04, 3.210536e-07
2.036282631497e+04, 3.074542e-07
2.041173269017e+04, 3.018255e-07
2.046063906537e+04, 3.076702e-07
2.050954544057e+04, 3.191706e-07
2.055845181577e+04, 3.103023e-07
2.060735819097e+04, 2.960955e-07
2.065626456617e+04, 2.814770e-07
2.070517094137e+04, 2.745727e-07
2.075407731657e+04, 2.809573e-07
2.080298369177e+04, 2.970741e-07
2.085189006697e+04, 2.977693e-07
2.090079644217e+04, 2.947862e-07
2.094970281737e+04, 2.879561e-07
2.099860919257e+04, 3.004419e-07
2.104751556777e+04, 3.251165e-07
2.109642194297e+04, 3.301311e-07
2.114532831817e+04, 3.098704e-07
2.119423469338e+04, 2.925590e-07
2.124314106858e+04, 2.937873e-07
2.129204744378e+04, 2.931192e-07
2.134095381898e+04, 2.791823e-07
2.138986019418e+04, 2.737156e-07
2.143876656938e+04, 2.710834e-07
2.148767294458e+04, 2.692679e-07
2.153657931978e+04, 2.666493e-07
2.158548569498e+04, 2.695311e-07
2.163439207018e+04, 2.708810e-07
2.168329844538e+04, 2.794928e-07
2.173220482058e+04, 2.918031e-07
2.178111119578e+04, 2.980595e-07
2.183001757098e+04, 2.994903e-07
2.187892394618e+04, 3.162280e-07
2.192783032138e+04, 3.361310e-07
2.197673669658e+04, 3.331817e-07
2.202564307178e+04, 2.977760e-07
2.207454944698e+04, 2.908245e-07
2.212345582218e+04, 2.930382e-07
2.217236219738e+04, 2.754433e-07
2.222126857258e+04, 2.782307e-07
2.227017494778e+04, 2.895624e-07
2.231908132298e+04, 2.954476e-07
2.236798769818e+04, 2.965949e-07
2.241689407338e+04, 2.823881e-07
2.246580044858e+04, 2.792768e-07
2.251470682378e+04, 3.290243e-07
2.256361319898e+04, 3.710643e-07
2.261251957418e+04, 3.407407e-07
2.266142594938e+04, 3.284101e-07
2.271033232459e+04, 3.244956e-07
2.275923869979e+04, 3.238747e-07
2.280814507499e+04, 3.259062e-07
2.285705145019e+04, 3.040324e-07
2.290595782539e+04, 2.823409e-07
2.295486420059e+04, 2.865051e-07
2.300377057579e+04, 3.104103e-07
2.305267695099e+04, 3.160998e-07
2.310158332619e+04, 3.110987e-07
2.315048970139e+04, 2.985454e-07
2.319939607659e+04, 2.876794e-07
2.324830245179e+04, 2.946107e-07
2.329720882699e+04, 3.113349e-07
2.334611520219e+04, 3.229163e-07
2.339502157739e+04, 3.248601e-07
2.344392795259e+04, 3.211278e-07
2.349283432779e+04, 3.193798e-07
2.354174070299e+04, 3.240299e-07
2.359064707819e+04, 3.320816e-07
2.363955345339e+04, 3.324865e-07
2.368845982859e+04, 3.231998e-07
2.373736620379e+04, 3.086083e-07
2.378627257899e+04, 3.055307e-07
2.383517895419e+04, 2.971079e-07
2.388408532939e+04, 2.797087e-07
2.393299170459e+04, 2.773263e-07
2.398189807979e+04, 2.928155e-07
2.403080445499e+04, 3.015218e-07
2.407971083019e+04, 3.118546e-07
2.412861720539e+04, 3.133461e-07
2.417752358059e+04, 3.196565e-07
2.422642995580e+04, 3.584840e-07
2.427533633100e+04, 3.567562e-07
2.432424270620e+04, 3.389994e-07
2.437314908140e+04, 3.259737e-07
2.442205545660e+04, 3.121651e-07
2.447096183180e+04, 3.216475e-07
2.451986820700e+04, 3.260007e-07
2.456877458220e+04, 3.495684e-07
2.461768095740e+04, 3.813498e-07
2.466658733260e+04, 3.900899e-07
2.471549370780e+04, 3.664951e-07
2.476440008300e+04, 3.405179e-07
2.481330645820e+04, 3.336136e-07
2.486221283340e+04, 3.306710e-07
2.491111920860e+04, 3.295304e-07
2.496002558380e+04, 3.298746e-07
2.500893195900e+04, 3.479284e-07
2.505783833420e+04, 3.957726e-07
2.510674470940e+04, 4.004565e-07
2.515565108460e+04, 3.658067e-07
2.520455745980e+04, 3.453908e-07
2.525346383500e+04, 3.187792e-07
2.530237021020e+04, 2.992068e-07
2.535127658540e+04, 3.103698e-07
2.540018296060e+04, 3.335461e-07
2.544908933580e+04, 3.357193e-07
2.549799571100e+04, 3.289905e-07
2.554690208620e+04, 3.208849e-07
2.559580846140e+04, 3.064688e-07
2.564471483660e+04, 3.230243e-07
2.569362121180e+04, 3.356316e-07
2.574252758700e+04, 3.414695e-07
2.579143396221e+04, 3.495414e-07
2.584034033741e+04, 3.719349e-07
2.588924671261e+04, 4.071988e-07
2.593815308781e+04, 4.640395e-07
2.598705946301e+04, 5.656536e-07
2.603596583821e+04, 6.639067e-07
2.608487221341e+04, 6.153268e-07
2.613377858861e+04, 4.888491e-07
2.618268496381e+04, 4.058490e-07
2.623159133901e+04, 3.737436e-07
2.628049771421e+04, 3.527473e-07
2.632940408941e+04, 3.461602e-07
2.637831046461e+04, 3.553389e-07
2.642721683981e+04, 3.553456e-07
2.647612321501e+04, 3.530375e-07
2.652502959021e+04, 3.534222e-07
2.657393596541e+04, 3.549812e-07
2.662284234061e+04, 3.693162e-07
2.667174871581e+04, 3.611161e-07
2.672065509101e+04, 3.509183e-07
2.676956146621e+04, 3.554266e-07
2.681846784141e+04, 3.598743e-07
2.686737421661e+04, 3.926680e-07
2.691628059181e+04, 4.137319e-07
2.696518696701e+04, 4.038648e-07
2.701409334221e+04, 3.878087e-07
2.706299971741e+04, 3.819168e-07
2.711190609261e+04, 3.676290e-07
2.716081246781e+04, 3.489813e-07
2.720971884301e+04, 3.522951e-07
2.725862521821e+04, 3.713410e-07
2.730753159342e+04, 3.686143e-07
2.735643796862e+04, 3.664816e-07
2.740534434382e+04, 3.579643e-07
2.745425071902e+04, 3.455932e-07
2.750315709422e+04, 3.483873e-07
2.755206346942e+04, 3.411996e-07
2.760096984462e+04, 3.340186e-07
2.764987621982e+04, 3.493255e-07
2.769878259502e+04, 3.568844e-07
2.774768897022e+04, 3.886996e-07
2.779659534542e+04, 5.655186e-07
2.784550172062e+04, 6.422624e-07
2.789440809582e+04, 4.780439e-07
2.794331447102e+04, 3.690868e-07
2.799222084622e+04, 3.450061e-07
2.804112722142e+04, 3.415910e-07
2.809003359662e+04, 3.246036e-07
2.813893997182e+04, 3.241042e-07
2.818784634702e+04, 3.234630e-07
2.823675272222e+04, 3.234360e-07
2.828565909742e+04, 3.319128e-07
2.833456547262e+04, 3.301378e-07
2.838347184782e+04, 3.353009e-07
2.843237822302e+04, 3.416045e-07
2.848128459822e+04, 3.468013e-07
2.853019097342e+04, 3.712262e-07
2.857909734862e+04, 3.788527e-07
2.862800372382e+04, 3.848594e-07
2.867691009902e+04, 4.044182e-07
2.872581647422e+04, 3.988907e-07
2.877472284942e+04, 3.753702e-07
2.882362922463e+04, 3.476922e-07
2.887253559983e+04, 3.328240e-07
2.892144197503e+04, 3.442569e-07
2.897034835023e+04, 3.630396e-07
2.901925472543e+04, 3.688303e-07
2.906816110063e+04, 3.478407e-07
2.911706747583e+04, 3.353886e-07
2.916597385103e+04, 3.420905e-07
2.921488022623e+04, 3.460589e-07
2.926378660143e+04, 3.413278e-07
2.931269297663e+04, 3.407609e-07
2.936159935183e+04, 3.500746e-07
2.941050572703e+04, 3.546640e-07
2.945941210223e+04, 3.641127e-07
2.950831847743e+04, 3.744050e-07
2.955722485263e+04, 3.640789e-07
2.960613122783e+04, 3.541173e-07
2.965503760303e+04, 3.484413e-07
2.970394397823e+04, 3.283966e-07
2.975285035343e+04, 3.303471e-07
2.980175672863e+04, 3.276812e-07
2.985066310383e+04, 3.189546e-07
2.989956947903e+04, 3.119086e-07
2.994847585423e+04, 3.116386e-07
2.999738222943e+04, 3.236587e-07
3.004628860463e+04, 3.243809e-07
3.009519497983e+04, 3.152426e-07
3.014410135503e+04, 3.201695e-07
3.019300773023e+04, 3.261829e-07
3.024191410543e+04, 3.295642e-07
3.029082048063e+04, 3.329994e-07
3.033972685584e+04, 3.261424e-07
3.038863323104e+04, 3.323380e-07
3.043753960624e+04, 3.335664e-07
3.048644598144e+04, 3.375686e-07
3.053535235664e+04, 3.337216e-07
3.058425873184e+04, 3.328577e-07
3.063316510704e+04, 3.401602e-07
3.068207148224e+04, 3.505470e-07
3.073097785744e+04, 3.397755e-07
3.077988423264e+04, 3.268510e-07
3.082879060784e+04, 3.161335e-07
3.087769698304e+04, 3.219984e-07
3.092660335824e+04, 3.281131e-07
3.097550973344e+04, 3.272492e-07
3.102441610864e+04, 3.390129e-07
3.107332248384e+04, 3.479149e-07
3.112222885904e+04, 3.498924e-07
3.117113523424e+04, 3.351456e-07
3.122004160944e+04, 3.515189e-07
3.126894798464e+04, 3.658944e-07
3.131785435984e+04, 3.691610e-07
3.136676073504e+04, 3.547045e-07
3.141566711024e+04, 3.394516e-07
3.146457348544e+04, 3.338566e-07
3.151347986064e+04, 3.364955e-07
3.156238623584e+04, 3.385809e-07
3.161129261104e+04, 3.262504e-07
3.166019898624e+04, 3.191233e-07
3.170910536144e+04, 3.278364e-07
3.175801173664e+04, 3.384729e-07
3.180691811184e+04, 3.373796e-07
3.185582448705e+04, 3.211751e-07
3.190473086225e+04, 3.250355e-07
3.195363723745e+04, 3.373323e-07
3.200254361265e+04, 3.430421e-07
3.205144998785e+04, 3.316294e-07
3.210035636305e+04, 3.184012e-07
3.214926273825e+04, 3.161537e-07
3.219816911345e+04, 3.334516e-07
3.224707548865e+04, 3.268983e-07
3.229598186385e+04, 3.157556e-07
3.234488823905e+04, 3.412333e-07
3.239379461425e+04, 3.548530e-07
3.244270098945e+04, 3.339781e-07
3.249160736465e+04, 3.142033e-07
3.254051373985e+04, 3.236520e-07
3.258942011505e+04, 3.299691e-07
3.263832649025e+04, 3.292470e-07
3.268723286545e+04, 3.292740e-07
3.273613924065e+04, 3.408756e-07
3.278504561585e+04, 3.668258e-07
3.283395199105e+04, 3.575121e-07
3.288285836625e+04, 3.498789e-07
3.293176474145e+04, 3.425021e-07
3.298067111665e+04, 3.392423e-07
3.302957749185e+04, 3.394786e-07
3.307848386705e+04, 3.243876e-07
3.312739024225e+04, 3.037152e-07
3.317629661745e+04, 3.000235e-07
3.322520299265e+04, 3.060976e-07
3.327410936785e+04, 3.169906e-07
3.332301574305e+04, 3.217960e-07
3.337192211825e+04, 3.164372e-07
3.342082849346e+04, 3.129209e-07
3.346973486866e+04, 3.238274e-07
3.351864124386e+04, 3.333639e-07
3.356754761906e+04, 3.418677e-07
3.361645399426e+04, 3.503581e-07
3.366536036946e+04, 3.432108e-07
3.371426674466e+04, 3.262504e-07
3.376317311986e+04, 3.272695e-07
3.381207949506e+04, 3.308735e-07
3.386098587026e+04, 3.358003e-07
3.390989224546e+04, 3.343762e-07
3.395879862066e+04, 3.338633e-07
3.400770499586e+04, 3.226734e-07
3.405661137106e+04, 3.233483e-07
3.410551774626e+04, 3.297801e-07
3.415442412146e+04, 3.203314e-07
3.420333049666e+04, 3.095666e-07
3.425223687186e+04, 3.245024e-07
3.430114324706e+04, 3.346530e-07
3.435004962226e+04, 3.232943e-07
3.439895599746e+04, 3.314809e-07
3.444786237266e+04, 3.523085e-07
3.449676874786e+04, 3.525380e-07
3.454567512306e+04, 3.530239e-07
3.459458149826e+04, 3.588349e-07
3.464348787346e+04, 3.663736e-07
3.469239424866e+04, 3.759911e-07
3.474130062386e+04, 3.716851e-07
3.479020699906e+04, 3.558856e-07
3.483911337426e+04, 3.472332e-07
3.488801974946e+04, 3.521466e-07
3.493692612467e+04, 3.508710e-07
3.498583249987e+04, 3.526730e-07
3.503473887507e+04, 3.495009e-07
3.508364525027e+04, 3.615345e-07
3.513255162547e+04, 3.597460e-07
3.518145800067e+04, 3.541105e-07
3.523036437587e+04, 3.508845e-07
3.527927075107e+04, 3.550959e-07
3.532817712627e+04, 3.741013e-07
3.537708350147e+04, 3.931472e-07
3.542598987667e+04, 3.961775e-07
3.547489625187e+04, 4.088523e-07
3.552380262707e+04, 4.160941e-07
3.557270900227e+04, 3.974059e-07
3.562161537747e+04, 3.824837e-07
3.567052175267e+04, 3.883419e-07
3.571942812787e+04, 3.863981e-07
