% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 10 Hz, stop freq 1.000 kHz, RBW 4.700 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:30:06 -0700
% Frequency (Hz), Input A (V/rtHz)
3.690365701914e+02, 2.863205e-06
3.713648766279e+02, 2.543112e-06
3.736931830645e+02, 2.268379e-06
3.760214895010e+02, 2.180595e-06
3.783497959375e+02, 2.380999e-06
3.806781023741e+02, 2.742820e-06
3.830064088106e+02, 2.906707e-06
3.853347152472e+02, 2.714913e-06
3.876630216837e+02, 2.485839e-06
3.899913281202e+02, 2.268262e-06
3.923196345568e+02, 2.282664e-06
3.946479409933e+02, 2.686128e-06
3.969762474298e+02, 3.012012e-06
3.993045538664e+02, 3.035870e-06
4.016328603029e+02, 2.810877e-06
4.039611667395e+02, 2.685530e-06
4.062894731760e+02, 2.884774e-06
4.086177796125e+02, 3.208169e-06
4.109460860491e+02, 2.934796e-06
4.132743924856e+02, 2.524181e-06
4.156026989222e+02, 2.195278e-06
4.179310053587e+02, 2.410001e-06
4.202593117952e+02, 3.075373e-06
4.225876182318e+02, 3.000049e-06
4.249159246683e+02, 2.394903e-06
4.272442311049e+02, 2.369087e-06
4.295725375414e+02, 2.278648e-06
4.319008439779e+02, 2.112355e-06
4.342291504145e+02, 2.168135e-06
4.365574568510e+02, 2.479933e-06
4.388857632875e+02, 2.799263e-06
4.412140697241e+02, 3.697526e-06
4.435423761606e+02, 4.631891e-06
4.458706825972e+02, 4.935377e-06
4.481989890337e+02, 4.478240e-06
4.505272954702e+02, 4.038922e-06
4.528556019068e+02, 4.044995e-06
4.551839083433e+02, 3.864781e-06
4.575122147799e+02, 3.845701e-06
4.598405212164e+02, 4.207754e-06
4.621688276529e+02, 4.410830e-06
4.644971340895e+02, 4.395599e-06
4.668254405260e+02, 4.546015e-06
4.691537469625e+02, 4.842317e-06
4.714820533991e+02, 5.071109e-06
4.738103598356e+02, 5.201930e-06
4.761386662722e+02, 5.906541e-06
4.784669727087e+02, 7.150763e-06
4.807952791452e+02, 7.128813e-06
4.831235855818e+02, 5.444510e-06
4.854518920183e+02, 3.807708e-06
4.877801984549e+02, 3.006769e-06
4.901085048914e+02, 2.921158e-06
4.924368113279e+02, 2.997527e-06
4.947651177645e+02, 2.984669e-06
4.970934242010e+02, 3.148424e-06
4.994217306376e+02, 3.238099e-06
5.017500370741e+02, 3.175252e-06
5.040783435106e+02, 2.936356e-06
5.064066499472e+02, 2.688152e-06
5.087349563837e+02, 2.906790e-06
5.110632628202e+02, 2.955718e-06
5.133915692568e+02, 2.622053e-06
5.157198756933e+02, 2.773115e-06
5.180481821299e+02, 2.981534e-06
5.203764885664e+02, 3.337680e-06
5.227047950029e+02, 3.589003e-06
5.250331014395e+02, 3.909627e-06
5.273614078760e+02, 4.580508e-06
5.296897143126e+02, 5.096958e-06
5.320180207491e+02, 5.428151e-06
5.343463271856e+02, 5.961192e-06
5.366746336222e+02, 6.154479e-06
5.390029400587e+02, 5.804522e-06
5.413312464952e+02, 4.703747e-06
5.436595529318e+02, 2.878419e-06
5.459878593683e+02, 2.231098e-06
5.483161658049e+02, 2.386740e-06
5.506444722414e+02, 2.466776e-06
5.529727786779e+02, 2.344665e-06
5.553010851145e+02, 2.575664e-06
5.576293915510e+02, 2.745342e-06
5.599576979876e+02, 2.850331e-06
5.622860044241e+02, 2.857581e-06
5.646143108606e+02, 2.535347e-06
5.669426172972e+02, 2.146384e-06
5.692709237337e+02, 2.056144e-06
5.715992301702e+02, 2.063096e-06
5.739275366068e+02, 1.909329e-06
5.762558430433e+02, 1.873708e-06
5.785841494799e+02, 1.760158e-06
